"","station","LATITUDE","LONGITUDE"
"116","Fairfax Village",38.86559,-76.952103
"117","Branch & Pennsylvania Ave SE",38.8692,-76.9599
"118","Birthday Station",38.873773, -77.001223
"119","Columbia Rd & Belmont St NW",38.920669,-77.04368
"120","6th & H St NE",38.899972,-76.998347
"121","15th St & Massachusetts Ave SE",38.88732,-76.983569
"122","7th & R St NW / Shaw Library",38.912719,-77.022155
"123","Thomas Circle",38.9059,-77.0325
"124","9th & Upshur St NW",38.9418,-77.0251
"125","1st & Rhode Island Ave NW",38.915417,-77.012289
"126","California St & Florida Ave NW",38.917761,-77.04062
"127","Columbia Rd & Georgia Ave NW",38.928121,-77.023795
"128","Wilson Blvd & Franklin Rd",38.8904,-77.0889
"129","11th & H St NE",38.899983,-76.991383
"130","M St & Pennsylvania Ave NW",38.905126,-77.056887
"131","Wilson Blvd & N Edgewood St",38.889,-77.0925
"132","3rd & G St SE",38.881185,-77.001828
"133","3000 Connecticut Ave NW / National Zoo",38.930282,-77.055599
"134","Benning Rd & East Capitol St NE / Benning Rd Metro",38.889935,-76.93723
"135","18th St & Pennsylvania Ave NW",38.89968,-77.041539
"136","4th & E St SW",38.88412,-77.017445
"137","17th & Rhode Island Ave NW",38.906686,-77.037847
"138","N Highland St & Wilson Blvd",38.887677,-77.094362
"139","Court House Metro / Wilson Blvd & N Uhle St",38.891618,-77.085061
"140","N Fillmore St & Clarendon Blvd",38.888151,-77.09315
"141","Congress Heights Metro",38.844711,-76.987823
"142","Anacostia Ave & Benning Rd NE / River Terrace",38.896544,-76.96012
"143","Clarendon Blvd & N Fillmore St",38.8881,-77.09308
"144","4th St & Rhode Island Ave NE",38.919795,-76.999699
"145","Clarendon Metro / Wilson Blvd & N Highland St",38.88786,-77.094875
"146","Maryland & Independence Ave SW",38.887828,-77.016516
"147","1st & K St SE",38.87861,-77.006004
"148","39th & Calvert St NW / Stoddert",38.922649,-77.077271
"149","20th & O St NW / Dupont South",38.908905,-77.04478
"150","1st & Washington Hospital Center NW",38.928743,-77.012457
"151","Virginia Square Metro / N Monroe St & 9th St N",38.882788,-77.103148
"152","Central Library / N Quincy St & 10th St N",38.88397,-77.10783
"153","D St & Maryland Ave NE",38.894758,-76.997114
"154","Washington Blvd & 10th St N",38.884734,-77.093485
"155","Virginia Square",38.882699,-77.102074
"156","Central Library",38.884429,-77.104956
"157","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",38.88412,-77.04657
"158","Jefferson Dr & 14th St SW",38.888553,-77.032429
"159","New Hampshire Ave & T St NW [formerly 16th & U St NW]",38.915689, -77.037360
"160","Idaho Ave & Newark St NW [on 2nd District patio]",38.935239,-77.073707
"161","Smithsonian / Jefferson Dr & 12th St SW",38.88875,-77.02765
"162","Key Blvd & N Quinn St",38.896015,-77.078107
"163","N Veitch  & 20th St N",38.896923,-77.086502
"164","N Veitch & Key Blvd",38.893241,-77.086045
"165","N Adams St & Lee Hwy",38.895487,-77.088234
"166","15th & N Scott St",38.89054,-77.08095
"167","Wilson Blvd & N Oakland St",38.881361,-77.103211
"168","Fairfax Dr & Wilson Blvd",38.885801,-77.097745
"169","N Randolph St & Fairfax Dr",38.882629,-77.109366
"170","N Quincy St & Glebe Rd",38.876393,-77.107735
"171","Ballston Metro / N Stuart & 9th St N",38.881044,-77.111768
"172","George Mason Dr & Wilson Blvd",38.87887,-77.1207
"173","Washington Blvd & 7th St N",38.880834,-77.091129
"174","Jefferson Memorial",38.879819,-77.037413
"175","Good Hope Rd & 14th St SE",38.866611,-76.985238
"176","Glebe Rd & 11th St N",38.883921,-77.116817
"177","N Quincy St & Wilson Blvd",38.880034,-77.106593
"178","Fairfax Dr & Glebe Rd",38.882169,-77.114942
"179","20th & L St NW",38.903584,-77.044789
"180","12th & L St NW",38.903819,-77.0284
"181","19th & K St NW",38.902204,-77.04337
"182","21st St & Pennsylvania Ave NW",38.901539,-77.046564
